id,nama_obat,text
20,Fluimucil Dry Syrup,"
Nama Obat: Fluimucil Dry Syrup

Kategori Penyakit:
batuk

Indikasi:
Mengencerkan dahak di saluran pernapasan

Dosis:
2 sendok takar 10 ml, 2-3 kali per hari |  2-4 kali sehari, 200 mg/hari | 300 mg/hari

Efek Samping:
Bronkospasme | gangguan lambung | stomatitis | rinore | sakit kepala | tinitus | urtikaria | menggigil | demam | hemoptitis | reaksi anafilaksis (jarang terjadi)

Kontraindikasi:
Hipersensitif terhadap Acetylcysteine atau zat tambahan obat ini Anak-anak dibawah 2 tahun

Interaksi Obat:
antitusif | tetrasiklin | nitrogliserin

Komposisi:
Acetylcysteine

Harga:
92400

Aturan Pemakaian:
Tambahkan air sampai tanda garis merah Tutuplah botol rapat kemudian kocok botol dalam keadaan terbalik | Setelah dikocok permukaan sirup akan terlihat dibawah tanda | Tambahkan air lagi sampai batas tanda. Kocok sampai homogen | Setelah dicampur, sirup digunakan maksimal 12 hari

Jangka Waktu Penggunaan:
Jangan menggunakan lebih dari dosis yang dianjurkan Lama pengobatan 5 - 10 hari
"
21,herbaKOF,"
Nama Obat: herbaKOF

Kategori Penyakit:
batuk

Indikasi:
Membantu meredakan batuk dan membantu melegakan tenggorokan

Dosis:
3 x sehari, 3 sendok takar 15 ml | 3 x sehari, 1 sendok takar 5 ml

Efek Samping:
Belum ada efek_samping yang dilaporkan

Kontraindikasi:
Pada pasien yang memiliki riwayat hipersensitifitas terhadap kandungan komposisi pada produk ini

Interaksi Obat:
Belum diketahui interaksi antarobat yang pasti terjadi jika Herbakof Herbal Cough Syrup 100 ml digunakan bersama obat, suplemen, atau ptoduk herbal lain | Agar aman, selalu konsultasikan dengan dokter jika Anda berencana mengonsumsi produk ini bersama obat lain

Komposisi:
Vitex trifolia falium | Zingiber officinale rhizoma | Abrus precatorius folium | Phaleria macrocarpa pericarpium | Natrium benzoat | metil paraben | aspartam | madu cair | perisa jeruk |  perisa peppermint

Harga:
15500

Aturan Pemakaian:
setelah makan

Jangka Waktu Penggunaan:

"
22,Ikadryl,"
Nama Obat: Ikadryl

Kategori Penyakit:
batuk

Indikasi:
Untuk meredakan batuk karena alergi dan influenza serta melegakan saluran pernapasan

Dosis:
2 sendok takar 10 ml, 3 kali per hari | 1 sendok takar 5 ml, 3 kali per hari

Efek Samping:
Gangguan Gl | anoreksia atau peningkatan nafsu makan | penglihatan kabur | gangguan kencing | mulut kering | dada terasa terikat | hipotensi | lemas otot | tinitus | sakit kepala | serangan epilesi | fotosensitif

Kontraindikasi:
bayi baru lahir dan bayi prematur | ibu menyusui | orang yang alergi pada salah satu kandungannya

Interaksi Obat:
Jika obat ini digunakan bersama obat penenang, obat antidepresan, atau obat antihistamin lain, bisa terjadi efek kantuk yang berat dan efek_samping yang bisa berakibat fatal

Komposisi:
Diphenhydramine HCI | Ammonium Chloride

Harga:
18000

Aturan Pemakaian:
Dapat dikonsumsi sebelum atau sesudah makan

Jangka Waktu Penggunaan:
Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
"
23,Laserin,"
Nama Obat: Laserin

Kategori Penyakit:
batuk

Indikasi:
Membantu meredakan batuk, masuk angin, muntah, sakit perut, dan melegakan tenggorokan

Dosis:
3 x sehari 1-2 sendok makan | 3 x sehari 1-2 sendok teh | 2 x sehari 12 sendok teh. Atau menurut petunjuk dokter

Efek Samping:
Belum terdapat data keamanan untuk obat ini

Kontraindikasi:
Hipersensitif | Penderita obstruksi usus | Penderita yang harus menghindari konstipasi

Interaksi Obat:
Tidak ada informasi adanya interaksi_obat saat Laserin digunakan bersama zat aktif lainnya

Komposisi:
Euphorbiae hirta Herba | Zingiberis officinale Rhizoma | Cinnamomum burmanii Cortex | Amomi compacti Fructus | Syzygium aromaticum Flos | Piper betle Folium | Abri precatorius Folium | Mentha arvensis Folium | Hibiscus tileacius Folium | Oleum mentha piperitae | Succus liquiritae

Harga:
14500 | 26000

Aturan Pemakaian:
Berikan sesudah makan

Jangka Waktu Penggunaan:
Tidak boleh digunakan lebih dari 6 minggu tanpa anjuran dokter
"
24,OB Herbal,"
Nama Obat: OB Herbal

Kategori Penyakit:
batuk

Indikasi:
Membantu meredakan batuk dan membantu melegakan tenggorokan

Dosis:
3 x 1 Sendok Makan 15 ml | 3 x 12 Sendok Makan 7.5 ml

Efek Samping:
Pada umumnya, jarang ditemukan efek_samping pada penggunaan obat herbal

Kontraindikasi:
Hindari penggunaan OB Herbal apabila kamu punya riwayat alergi pada salah satu kandungan di dalam obat

Interaksi Obat:
Belum ada informasi terkait interaksi_obat OB Herbal dengan zat aktif lain

Komposisi:
Zingiber officinale Rhizoma | Citrus aurantifolia Fructus | Kaempferia galanga Rhizoma | Thymus vulgaris Herba | Mentha arvensis Folium | Myristica fragrans Semen | Mel depuratum | Glycyrrhiza glabra Radix (Licorice) | Oleum Menthae Piperitae | Potasium sorbat

Harga:
16500 | 24000

Aturan Pemakaian:
Sesudah makan

Jangka Waktu Penggunaan:
Jangan memberikan OB Herbal Junior Sirup ke anak dalam jangka panjang, selama 6 minggu
"
25,Obat Batuk Cap Ibu dan Anak,"
Nama Obat: Obat Batuk Cap Ibu dan Anak

Kategori Penyakit:
batuk

Indikasi:
Membantu meredakan batuk berdahak dan membantu melegakan tenggorokan. Membantu memelihara kesehatan paru-paru

Dosis:
3 kali per hari 1 sendok takar 15ml | 3 Kali sehari 23 sendok takar 10ml | 3 Kali sehari 13 sendok takar 5ml

Efek Samping:
Mual | Diare | Sakit perut | Gatal-gatal | Ruam | Bengkak pada kulit | Sakit kepala | Pusing | Sulit tidur atau insomnia

Kontraindikasi:
Pasien yang mengalami reaksi hipersensitivitas terhadap salah satu kandungan obat. Beberapa gejala yang akan dialami, seperti munculnya ruam, gatal, hingga bengkak | Insomnia berat

Interaksi Obat:
Belum didapatkan informasi terkait interaksi_obat batuk ibu dan anak dengan obat lainnya

Komposisi:
Fritillaria cirrhosa Bulbus | Eriobotrya japonica Folium | Adenophora tetraphylla Radix | Poria cocos | Citrus grandis Exocarpium | Platycodon grandiflorium Radix | Pinellia ternata rhizoma Preparatum | Schisandra chinensis Fructus | Trichosanthes kirilowii Semen | Polygala tenuifolia Radix | Tussilago farfara Flos | Armeniacae amarum Semen | Zingiber officinale Rhizoma | Mentholum | Glycyrrhiza glabes Radix | Aqua armeniacae | Mel depuratum | Syrup Q.S. to

Harga:
27000 | 54000 | 74000

Aturan Pemakaian:
Sesudah makan. Diminum secara perlahan-lahan atau dicampur dengan air hangat

Jangka Waktu Penggunaan:

"
26,OBH Berlico Jerus Nipis,"
Nama Obat: OBH Berlico Jerus Nipis

Kategori Penyakit:
batuk

Indikasi:
Untuk batuk berdahak

Dosis:
3 x sehari 3 sendok takar (15 ml) | 3 x sehari 1 sendok takar (5 ml)

Efek Samping:
efek_samping yang terjadi pada dosis besar adalah asidosis metabolik | rasa kantuk | mual dan muntah

Kontraindikasi:
Penderita yang hipersensitif terhadap komponen obat ini

Interaksi Obat:


Komposisi:


Harga:
10000

Aturan Pemakaian:
Sebelum atau sesudah makan

Jangka Waktu Penggunaan:
Bukan Untuk Jangka Panjang
"
27,OBH Combi Batuk Berdahak,"
Nama Obat: OBH Combi Batuk Berdahak

Kategori Penyakit:
batuk

Indikasi:
Untuk meredakan batuk berdahak

Dosis:
1-4 kali sehari, 2 sachet 15 ml

Efek Samping:
Mual | muntah | perasaan tidak nyaman di perut. Pada dosis besar dapat menyebabkan gangguan elektrolit tubuh

Kontraindikasi:
Penderita yang hipersensitif terhadap salah satu komponen obat

Interaksi Obat:
Amonium klorida dapat menurunkan kadar obat methyl​enedioxy​methamphetamine, lisdexamfetamine, pseudoephedrine, dan dextroamphetamine | Ammonium chloride dan diclofenamide dapat menurunkan kadar kalium | Beri tahu dokter atau apoteker jika kamu sedang mengonsumsi suplemen, produk herbal, atau obat lain

Komposisi:
Succus Liquiritiae | Ammonium Chloride | Ethanol

Harga:
16500

Aturan Pemakaian:
Diberikan sesudah makan

Jangka Waktu Penggunaan:
Bukan Untuk Jangka Panjang
"
28,OBH IKA Obat Batuk Hitam,"
Nama Obat: OBH IKA Obat Batuk Hitam

Kategori Penyakit:
batuk

Indikasi:
Untuk batuk berdahak

Dosis:
3-4 x sehari 1 sendok makan 15 ml | 3-4 x sehari 1 sendok teh 5 ml

Efek Samping:
Mengantuk

Kontraindikasi:
Penderita yang hipersensitif terhadap salah satu komponen obat

Interaksi Obat:


Komposisi:
Succus liquiritiae | Ammonium Chloride | SASA

Harga:
15000 | 23500

Aturan Pemakaian:
Sesudah makan

Jangka Waktu Penggunaan:
Bukan Untuk Jangka Panjang
"
29,OBH Itrasal,"
Nama Obat: OBH Itrasal

Kategori Penyakit:
batuk

Indikasi:
Sebagai expectoran batuk berdahak

Dosis:
sehari 3-4 kali 3 sendok teh 15 ml | sehari 3-4 kali 1 sendok teh 5 ml | Sesuai petunjuk dokter

Efek Samping:
dosis yang berlebihan kemungkinan menimbulkan asidosis

Kontraindikasi:
Penderita hipersensitif terhadap obat

Interaksi Obat:


Komposisi:
Succus Liquiritiae | Ammonium Chloride

Harga:
6500

Aturan Pemakaian:
Dikonsumsi setelah makan

Jangka Waktu Penggunaan:
Bukan Untuk Jangka Panjang
"
30,OBH Nellco,"
Nama Obat: OBH Nellco

Kategori Penyakit:
batuk

Indikasi:
Ekspektoran pada gangguan batuk berdahak

Dosis:
3 kali sehari 3 sendok takar | 3 kali sehari 1.5 sendok takar

Efek Samping:
Mual | muntah | perasaan tidak nyaman di perut | Pada dosis besar dapat menyebabkan gangguan elektrolit tubuh

Kontraindikasi:
Penderita yang hipersensitif terhadap salah satu komponen obat ini

Interaksi Obat:


Komposisi:
Succus Liquiritiae | Ammonium Chloride

Harga:


Aturan Pemakaian:
Dikonsumsi sesudah makan. Kocok dahulu sebelum dipakai

Jangka Waktu Penggunaan:
Bukan Untuk Jangka Panjang
"
31,Phenacold Expectorant,"
Nama Obat: Phenacold Expectorant

Kategori Penyakit:
batuk

Indikasi:
Untuk meringankan batuk berdahak yang disebabkan alergi

Dosis:
10 mL 3-4 x sehari | 5 mL 3-4 x sehari

Efek Samping:
efek_samping yang mungkin timbul yaitu mengantuk | pusing | gangguan saluran pencernaan

Kontraindikasi:
Jangan diberikan pada pasien yang hipersesnitif terhadap komponen obat

Interaksi Obat:
Bila digunakan bersama obat golongan antidepresan golongan monoamine oxidase inhibitors MAOIs, seperti isocarboxazid | obat ini bisa meningkatkan efek kantuk dan efek_samping yang bisa berakibat fatal

Komposisi:
Diphenhydramine Hydrochloride | Ammonium Chloride | Potassium Guaiacolsulfonate | Sodium Citrate

Harga:
13000

Aturan Pemakaian:
Bersama atau tanpa makanan

Jangka Waktu Penggunaan:
mengonsumsi Phenacold dalam dosis besar dan jangka panjang bisa menyebabkan gangguan hati
"
32,Sanadryl DMP,"
Nama Obat: Sanadryl DMP

Kategori Penyakit:
batuk

Indikasi:
Untuk meringankan gejala batuk tidak berdahak yang menimbulkan rasa sakit atau batuk karena alergi

Dosis:
3-4 kali sehari 2 sendok takar 10 ml | 3-4 kali sehari 1 sendok takar 5 ml

Efek Samping:
Mengantuk | sedasi | pusing | gangguan koordinasi | rasa tidak enak di ulu hati | sekresi saluran napas mengental | konstipasi | dosis sangat besar dapat menyebabkan depresi per- napasan dan susunan saraf pusat

Kontraindikasi:
Penderita yang hipersensitif terhadap komponen obat ini | Wanita hamil dan menyusui

Interaksi Obat:
Dapat mempotensiasi depresan sistem saraf pusat lainnya | Tindakan yang diperpanjang oleh monoamine oxidase inhibitors MAOI

Komposisi:
Dextromethorphan Hydrobromide | Diphenhydramine Hydrochloride | Ammonium Chloride | Sodium Citrate

Harga:
19000 | 30500

Aturan Pemakaian:
Dikonsumsi bersama atau setelah makanan.

Jangka Waktu Penggunaan:
Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER
"
33,Sanadryl Ekspektoran,"
Nama Obat: Sanadryl Ekspektoran

Kategori Penyakit:
batuk

Indikasi:
Untuk meringankan batuk berdahak yang disebabkan alergi

Dosis:
5 ml, 3-4 kali sehari | 10 ml, 3-4 kali sehari

Efek Samping:
efek_samping yang sering terjadi mengantuk | sedasi | pusing | gangguan koordinasi | rasa tidak enak di ulu hati. sekresi saluran napas mengental

Kontraindikasi:
SANADRYL Ekspektoran tidak boleh digunakan pada bayi, ibu menyusui, terapi antibiotika yang bersifat oto- toksik karena dapat menimbulkan reaksi ototoksik. Penderita yang hipersensitif terhadap salah satu kom- ponen dari SANADRYL Ekspektoran

Interaksi Obat:
Berikut adalah beberapa obat yang dapat berinteraksi dengan Sanadryl Expectorant: Golongan depresan sistem saraf pusat lainnya, Golongan obat MAOI

Komposisi:
Diphenhydramine Hydrochloride | Ammonium Chloride | Sulfogaiacol Potassium | Sodium Citrate Dihydrate

Harga:
16000 | 22500

Aturan Pemakaian:
Diberikan bersama dengan atau tanpa makanan

Jangka Waktu Penggunaan:
Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER
"
34,Siladex Antitussive,"
Nama Obat: Siladex Antitussive

Kategori Penyakit:
batuk

Indikasi:
Untuk meringankan batuk yang tidak berdahak yang disertai alergi

Dosis:
3 kali sehari, 1 sendok takar 5 ml | 3 kali sehari, 0.5 sendok takar 2.5 ml

Efek Samping:
Mual | pusing | mengantuk | konstipasi | mulut kering dan pandangan kabur | Gangguan pencernaan | gangguan psikomotor | takikardi | aritmia ventrikel | palpitasi | retensi urin

Kontraindikasi:
Penderita hipersensitif terhadap salah satu bahan yang terkandung dalam sediaan ini | Penderita dengan gangguan jantung dan diabetes mellitus | Penderita dengan gangguan fungsi hati yang berat

Interaksi Obat:
Dapat terjadi rangsangan SSP dan depresi pernapasan yang berat pada pemberian bersamaan dengan penghambat MAO

Komposisi:


Harga:
9500 | 17000 | 21000

Aturan Pemakaian:
Sebelum atau sesudah makan

Jangka Waktu Penggunaan:
Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
"
35,Siladex Mucolytic Expctorant,"
Nama Obat: Siladex Mucolytic Expctorant

Kategori Penyakit:
batuk

Indikasi:
Sebagai mukolitik dan ekspektoran untuk meredakan batuk berdahak dan mempermudah pengeluaran dahak

Dosis:
3 kali sehari 1 sendok takar 5 ml | 3 kali sehari 12 sendok takar 2.5 ml

Efek Samping:
Mual | diare | rasa penuh diperut | vertigo | berkeringat lebih banyak | ruam kulit

Kontraindikasi:
Hipersensitif terhadap Bromhexine HCI | Guaifenesin atau komponen lain dalam obat ini

Interaksi Obat:
Pemberian bersamaan dengan antibiotika amoksisilin, sefuroksim, doksisiklin akan meningkatkan konsentrasi antibiotik

Komposisi:
Bromhexine HCI | Gualfenesin

Harga:
9000 | 15500

Aturan Pemakaian:
Dikonsumsi sesudah makan

Jangka Waktu Penggunaan:
Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
"
36,Vicks Formula 44,"
Nama Obat: Vicks Formula 44

Kategori Penyakit:
batuk

Indikasi:
Untuk meringankan batuk yang tidak berdahak yang disertai bersin-bersin alergi

Dosis:
12 tahun ke atas 2 sendok takar 10 ml | 6-12 tahun 1 sendok takar 5 ml

Efek Samping:
Dapat menimbulkan rasa mual | pusing | mengantuk | konstipasi | sedasi | sekresi saluran napas mengental | dan gelisah | Dapat menyebabkan kantuk

Kontraindikasi:
Penderita hipersensitif | penderita glaukoma | asma bronkhial | kegagalan pernapasan dan wanita hamil atau menyusui

Interaksi Obat:
Dapat terjadi rangsangan susunan saraf pusat dan depresi pernapasan yang berat pada pemberian bersamaan dengan penghambat MAO

Komposisi:
Dextromethorphan Hydrobromide | Doxylamine Succinate | Alcohol

Harga:
11000 | 23000 | 32500

Aturan Pemakaian:
Sesudah makan

Jangka Waktu Penggunaan:
ketika penggunaan Vicks VapoRub dalam jangka panjang atau berlebihan menyebabkan bentuk pneumonia yang langka
"
37,Woods Peppermint Antitussive,"
Nama Obat: Woods Peppermint Antitussive

Kategori Penyakit:
batuk

Indikasi:
Batuk tidak berdahak yang disertai alergi

Dosis:
3 x sehari, 10 ml | 3 x sehari, 5 ml

Efek Samping:
efek_samping yang timbul seperti rasa mual | pusing | mengantuk dan konstipasi

Kontraindikasi:
Pada wanita hamil dan menyusui | penderita hipersensitif terhadap salah satu bahan aktif | penderita glaucoma | asma bronkhial | kegagalan pernapasan sebaiknya tidak menggunakan obat ini

Interaksi Obat:
Penggunaan secara bersamaan dengan inhibitor MAO dapat menyebabkan stimulasi CNS dan depresi pernapasan berat

Komposisi:
Dextromethorphan HBr | Diphenhydramine HCL

Harga:
22500 | 36000

Aturan Pemakaian:
Sesudah makan

Jangka Waktu Penggunaan:
Wood Pepermint bukan untuk dikonsumsi secara berulang-ulang atau dalam jangka panjang
"
38,Zenirex,"
Nama Obat: Zenirex

Kategori Penyakit:
batuk

Indikasi:
Untuk meredakan batuk berdahak atau batuk yang disebabkan oleh alergi

Dosis:
sehari 2 - 4 sendok teh tiap 4 jam

Efek Samping:
Menimbulkan rasa mengantuk. Kadang-kadang penglihatan kabur | mulut kering | meningkatnya tekanan darah | mual muntah | diare | iritasi saluran cerna

Kontraindikasi:
Hipersensitif | anak-anak < 2 tahun | menggunakan lebih dari satu obat batuk dan flu | penyakit ginjal | penyakit hati | anak-anak dengan disentri parah | hipersensitif

Interaksi Obat:


Komposisi:
Promethazine HCL | Ipecacuanhae Extractum | Guaifenesin

Harga:
8000

Aturan Pemakaian:
Kocok terlebih dahulu

Jangka Waktu Penggunaan:
Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
"
39,Decolsin Cair,"
Nama Obat: Decolsin Cair

Kategori Penyakit:
batuk dan flu

Indikasi:
Untuk meredakan batuk yang menyertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin

Dosis:
5 mL 1 sendok takar | 10 mL 2 sendok takar Anak 2-6 tahun Atas petunjuk Dokter

Efek Samping:
Mengantuk | gangguan pencernaan | gangguan psikomotor | takikardia | aritmia | mulut kering | palpitasi | retensi urin | Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati

Kontraindikasi:
Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO | Tidak boleh melebihi dosis yang dianjurkan | Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut | Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan | Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing | Penderita yang hipersensitif terhadap komponen obat ini | Penderita dengan gangguan fungsi hati yang berat | Penderita dengan gangguan jantung dan diabetes melitus

Interaksi Obat:
Penggunaan bersamaan antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi

Komposisi:
Paracetamol | Pseudoephedrine HCI | Chlorphenamine Maleate | Dextromethorphan HBr | Guaifenesin

Harga:
19500

Aturan Pemakaian:
Sebelum atau sesudah makan

Jangka Waktu Penggunaan:
Produk ini biasanya tidak boleh digunakan untuk batuk berkelanjutan akibat merokok atau masalah pernapasan jangka panjang seperti bronkitis
"
40,Intunal Cair,"
Nama Obat: Intunal Cair

Kategori Penyakit:
batuk dan flu

Indikasi:
Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk

Dosis:
3 x sehari 4 sendok takar 20 ml | 3 x sehari 2 sendok takar 10 ml atau menurut petunjuk dokter

Efek Samping:
Mengantuk | gangguan pencernaan | gangguan psikomotor | takikardia | aritmia | mulut kering | palpitasi | retensi urin | Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati

Kontraindikasi:
Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO | Tidak boleh melebihi dosis yang dianjurkan | Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut | Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan | Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing | Penderita yang hipersensitif terhadap komponen obat ini | Penderita dengan gangguan fungsi hati yang berat | Penderita dengan gangguan jantung dan diabetes melitus

Interaksi Obat:
Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi

Komposisi:
Paracetamol | Phenylpropanolamine HCL | Dexchlorpheniramine maleate | Dextromethorphan HBr | Guaifenesin

Harga:
27000

Aturan Pemakaian:
Sesudah makan

Jangka Waktu Penggunaan:
Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
"
41,Nellco Special,"
Nama Obat: Nellco Special

Kategori Penyakit:
batuk dan flu

Indikasi:
Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk

Dosis:
3 kali sehari 3 sendok takar | 3 kali sehari 1.5 sendok takar

Efek Samping:
kantuk | mual | muntah | sakit kepala | hipertensi

Kontraindikasi:
Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO | Tidak boleh melebihi dosis yang dianjurkan | Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut | Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan | Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing | Penderita yang hipersensitif terhadap komponen obat ini | Penderita dengan gangguan fungsi hati yang berat | Penderita dengan gangguan jantung dan diabetes melitus

Interaksi Obat:
Kombinasi dengan MAO inhibitor dan menyebabkan peningkatan tekanan darah drastis, memperpanjang masa kerja, dan meningkatkan efek antihistamin | Kolestiramin dapat menurunkan penyerapan paracetamol | Kombinasi metoclopramide dan domperidone dapat meningkatkan toksisitas dari paracetamol | Penggunaan bersama warfarin dapat meningkatkan kadar warfarin | Penggunaan bersama dengan alkohol, antidepresan, dan barbiturate akan memperkuat efek sedatif menimbulkan efek kantuk yang kuat | Glycyrrhizae yang dikombinasikan dengan digoksin dapat meningkatkan toksisitas dari digoksin | Kombinasi dengan furosemide dapat menurunkan kadar kalium

Komposisi:
Succus Liquiritiae | Phenylephrine HCI | Paracetamol | Ammonium Chloride | Chlorphenamine Maleate

Harga:
21500 | 34000

Aturan Pemakaian:
Dikonsumsi sesudah makan. Kocok dahulu sebelum dipakai

Jangka Waktu Penggunaan:
Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
"
42,OBH Combi Batuk Flu Menthol,"
Nama Obat: OBH Combi Batuk Flu Menthol

Kategori Penyakit:
batuk dan flu

Indikasi:
Untuk meredakan batuk yang disertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin

Dosis:
3 kali sehari 1 sendok takar 5 ml | 3 kali sehari 3 sendok takar 15 ml

Efek Samping:
Mengarituk | gangguan pencernaan | insomnia | gelisah | eksitasi | tremor | takikardia | aritmia | mulut kering | palpitasi | netensi urine | Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati

Kontraindikasi:
Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO | Tidak boleh melebihi dosis yang dianjurkan | Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut | Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan | Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing | Penderita yang hipersensitif terhadap komponen obat ini | Penderita dengan gangguan fungsi hati yang berat | Penderita dengan gangguan jantung dan diabetes melitus

Interaksi Obat:
Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi

Komposisi:
Succus Liquiritiae | Paracetamol | Ammonium Chloride | Pseudoephedrine HCI | Chlorphenamine Maleate

Harga:
16000 | 21500

Aturan Pemakaian:
Berikan sesudah makan

Jangka Waktu Penggunaan:
Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
"
43,Paratusin PE,"
Nama Obat: Paratusin PE

Kategori Penyakit:
batuk dan flu

Indikasi:
Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk

Dosis:
1 sendok teh (5 ml), 3 kali sehari | 2 sendok teh (10 ml), 3 kali sehari | 4 sendok teh (20 ml), 3 kali sehari

Efek Samping:
Mengantuk | gangguan pencernaan | insomnia | gelisah | eksitasi | tremor | takikardi | aritmia ventrikuler | mulut kering | palpitasi | sulit berkemih | Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati

Kontraindikasi:
Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain misal efedrin, fenilpropanolamin, fenilefrin, penderita tekanan darah tinggi berat, dan yang mendapat terapi obat antidepresan tipe penghambat Monoamin Oksidase MAO | Tidak boleh melebihi dosis yang dianjurkan | Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke, seperti pada penderita dengan berat badan berlebih overweight atau penderita usia lanjut | Bila dalam 3 hari gejala flu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan | Hentikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing | Penderita yang hipersensitif terhadap komponen obat ini | Penderita dengan gangguan fungsi hati yang berat | Penderita dengan gangguan jantung dan diabetes melitus

Interaksi Obat:
Penggunaan bersama anti depresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi

Komposisi:
Paracetamol | Pseudoephedrine HCI | Noscapine | Chlorphenamine Maleate | Guaifenesin | Succus Liquiritae | Ethanol

Harga:
42000

Aturan Pemakaian:
Obat diminum sesudah makan

Jangka Waktu Penggunaan:
Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
"
