id,nama_obat,text
10,Polycrol Forte,"
Nama Obat: Polycrol Forte

Kategori Penyakit:
lambung

Indikasi:
Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari, dengan gejala-gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung, dan perasaan penuh pada lambung

Dosis:
1-2 tablet kunyah 3 kali sehari

Efek Samping:
Elek samping yang umum adalah sembelit | diare | mual | muntah | dan gejala-gejala tersebut akan hilang bila pemakaian obat dihentikan

Kontraindikasi:
Jangan diberikan pada penderita gangguan fungsi ginjal yang berat, karena dapat menimbulkan hipermagnesia kadar magnesium dalam darah meningkat

Interaksi Obat:
Pemberian bersama-sama dengan simetidin atau tetrasiklin dapat mengurangi absorpsi obal tersebut

Komposisi:
Aluminium Hydroxide | Magnesium Hydroxide | Simethicone

Harga:
32500

Aturan Pemakaian:
Diminum 1 jam setelah makan dan menjelang tidur malam

Jangka Waktu Penggunaan:
Tidak dianjurkan untuk menggunakan Polycrol Forte Tablet lebih dari 2 minggu, kecuali atas petunjuk dokter
"
11,Polysilane Cair,"
Nama Obat: Polysilane Cair

Kategori Penyakit:
lambung

Indikasi:
Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari, dengan gejala-gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung, dan perasaan penuh pada lambung

Dosis:
5 - 10 ml, diminum 3-4 kali per hari | 2.5 - 5 ml diminum 3-4 kali per hari

Efek Samping:
Sembelit | diare | mual | muntah dan gejala-gejala tersebut akan hilang bila pemakaian obat dihentikan

Kontraindikasi:
Jangan diberikan pada penderita gangguan fungsi ginjal yang berat, karena dapat menimbulkan hipermagnesia kadar magnesium dalam darah meningkat

Interaksi Obat:
Pemberian bersama-sama dengan simetidin atau tetrasiklin dapat mengurangi absorbsi obat tersebut

Komposisi:
Aluminium Hydroxide | Magnesium Hydroxide | Simethicone | Sorbitol | Sodium Carbonate | Methylparaben | Alcohol | Hypromellose Propylparaben | Peppermint Oil | Citric Acid Monohydrate | Glycerol | Saccharin Sodium | Purifiert Water Sodium Bicarbonate | Anise Oil

Harga:
26000 | 37500

Aturan Pemakaian:
Dikonsumsi 1-2 jam setelah makan dan menjelang tidur

Jangka Waktu Penggunaan:
Polysilane hanya dikonsumsi saat dibutuhkan, bukan untuk konsumsi jangka panjang
"
12,polysilane Tablet,"
Nama Obat: polysilane Tablet

Kategori Penyakit:
lambung

Indikasi:
Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari, dengan gejala-gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung, dan perasaan penuh pada lambung

Dosis:
3-4 kali sehari 1-2 tablet | 2 tablet per hari

Efek Samping:
Sembelit | diare | mual | muntah | deplesi fosfat

Kontraindikasi:
Hipersensitif dan penderita gangguan ginjal berat

Interaksi Obat:
Penurunan efektivitas aspirin, cimetidine, pazopanib, digoxin, dan beberapa antibiotik, seperti ciprofloxacin, levofloxacin, tetracycline, doxycycline, cefuroxime, atau azithromycin | Peningkatan risiko terjadinya keracunan alumunium jika digunakan dengan vitamin D3

Komposisi:
Aluminium Hydroxide | Magnesium Hydroxide | Simethicone | Peppermint Oil | Talc | Menthol Crystal | Sucrose | Alcohol | Colloidal Silicon Dioxide | Povidone | Sorbitol | Purified Water

Harga:
10000 | 49000

Aturan Pemakaian:
Berikan sebelum makan, pada saat perut kosong dikunyah

Jangka Waktu Penggunaan:
Polysilane hanya dikonsumsi saat dibutuhkan, bukan untuk konsumsi jangka panjang
"
13,Promag Cair 60 ml,"
Nama Obat: Promag Cair 60 ml

Kategori Penyakit:
lambung

Indikasi:
PROMAG digunakan untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus 12 jari dengan gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung dan perasaan penuh pada lambung

Dosis:
1-2 sendok takar 5-10 ml, 3-4 kali sehari | 1 sendok takar 5 ml, 3-4 kali sehari

Efek Samping:
Umumnya adalah sembelit | diare | mual | muntah | dan gejala-gejala tersebut akan hilang bila pemakaian obat dihentikan

Kontraindikasi:
Pasien yang memiliki riwayat alergi terhadap salah satu komponen obat

Interaksi Obat:
Pemberian bersama sama dengan simetidin atau tetrasiklin dapat mengurangi absorpsi obat tersebut

Komposisi:


Harga:
13000

Aturan Pemakaian:
Kocok dahulu sebelum diminum | Dianjurkan untuk meminum obat ini segera pada saat timbul gejala dan dianjurkan 1-2 jam sebelum atau setelah makan dan sebelum tidur

Jangka Waktu Penggunaan:
Promag hanya dikonsumsi saat dibutuhkan, bukan untuk dikonsumsi rutin atau jangka panjang
"
14,Promag Sachet Herbal,"
Nama Obat: Promag Sachet Herbal

Kategori Penyakit:
lambung

Indikasi:
Mengatasi perut kembung dan begah

Dosis:
3 x sehari 1 sachet

Efek Samping:
Pemakaian obat umumnya memiliki efek_samping tertentu dan sesuai dengan masing- masing individu | Jika terjadi efek_samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis

Kontraindikasi:
Jika terjadi efek_samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis

Interaksi Obat:
Penurunan penyerapan bifosfonat, digoxin, estramustine, zat besi, pazopanib, strontium, obat golongan tetrasiklin, obat golongan quinolone, atau obat tiroid, seperti levothyroxine | Penurunan efektivitas obat yang mengandung estrogen, misalnya pil KB | Peningkatan kadar magnesium dalam darah (hipermagnesemia) terutama pada penderita gangguan fungsi ginjal, jika digunakan dengan vitamin D3

Komposisi:
Jahe Merah | Adas | Peppermint | Akar Manis | Kunyit | Ananas | Royal Jelly | Madu

Harga:
2500 | 14500

Aturan Pemakaian:
Bisa diminum langsung atau dicampur dengan air hangat, kocok sebelum diminum

Jangka Waktu Penggunaan:
Promag hanya dikonsumsi saat dibutuhkan, bukan untuk dikonsumsi rutin atau jangka panjang
"
15,Promag Sachet Suspensi,"
Nama Obat: Promag Sachet Suspensi

Kategori Penyakit:
lambung

Indikasi:
Untuk mengurangi gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus 12 jari dengan gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung dan perasaan penuh pada lambung

Dosis:
3-4 x sehari 1-2 sachet | 12-1 sachet

Efek Samping:
Tidak selalu, tapi ada beberapa efek_samping yang mungkin terjadi usai konsumsi Promag, seperti diare, konstipasi, mual, dan muntah | Gejala-gejala di atas biasanya akan hilang ketika Anda berhenti mengonsumsi obat

Kontraindikasi:
jangan gunakan obat Promag jika Anda alergi pada salah satu kandungannya | Obat tersebut juga tidak dianjurkan untuk diberikan pada penderita gangguan ginjal | Promag mengandung magnesium sehingga dapat menimbulkan hipermagnesemia

Interaksi Obat:


Komposisi:
Hydrotalcite | Magnesium Hydroxide | Simethicone

Harga:
2500 | 14000

Aturan Pemakaian:
Satu jam sebelum atau sesudah makan, dan sebelum tidur malam

Jangka Waktu Penggunaan:
Promag hanya dikonsumsi saat dibutuhkan, bukan untuk dikonsumsi rutin atau jangka panjang
"
16,Promag Tablet Kunyah,"
Nama Obat: Promag Tablet Kunyah

Kategori Penyakit:
lambung

Indikasi:
Meringankan gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus 12 jari dengan gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung dan perasaan penuh pada lambung

Dosis:
3-4 kali sehari 1-2 tablet | 3 - 4 kali sehari 0.5 - 1 tablet. Atau menurut petunjuk dokter

Efek Samping:
sembelit | diare | mual | muntah

Kontraindikasi:
Hipersensitif terhadap komponen obat

Interaksi Obat:


Komposisi:
Hydrotalcite | Magnesium Hydroxide | Simethicone

Harga:
9000 | 27000

Aturan Pemakaian:
Dianjurkan untuk meminum obat ini segera pada saat timbul gejala dan dilanjutkan 1-2 jam sebelum makan atau sesudah makan dan sebelum tidur. Obat ini dapat diminum dengan air atau dikunyah langsung

Jangka Waktu Penggunaan:
Promag hanya dikonsumsi saat dibutuhkan, bukan untuk dikonsumsi rutin atau jangka panjang
"
17,Bisolvon Extra,"
Nama Obat: Bisolvon Extra

Kategori Penyakit:
batuk

Indikasi:
Obat ini digunakan sebagai sekretolitik mukolitik dan ekspektoran untuk meredakan batuk berdahak dan mempermudah pengeluaran dahak

Dosis:
10 ml sendok takar 5 ml, diberikan 3 kali perhari | 5 ml 1 sendok takar 5 ml, diberikan 3 kali per hari | 2.5 ml setengah sendok takar 5 ml, diberikan 3 kali per hari

Efek Samping:
Gangguan Gl ringan. Reaksi alergi, terutama ruam kulit | Peningkatan kadar transaminase, sakit kepala dan vertigo

Kontraindikasi:
BISOLVON EXTRA tidak boleh digunakan pada pasien yang diketahui hipersensitif terhadap bromheksin, guaifenesin atau komponen lain dalam formula | Guaifenesin dianggap tidak aman pada pasien dengan porfiria karena telah terbukti porphyrinogenic pada hewan | Pada kasus kelainan bawaan yang sifatnya jarang yaitu kondisi dimana terdapat ketidkcoockan dengan zat tambahan yang terkandung dalam produk obat lampiran komposisi produk maka penggunaan produk dikontraindikasikan

Interaksi Obat:
Pemberian bersamaan dengan antibiotika (amoksisilin, sefuroksim, eritromisin, doksisiklin) akan meningkatkan konsentrasi antibiotika

Komposisi:
Bromhexine hydrochloride | Guaifenesin

Harga:
54000

Aturan Pemakaian:
Dikonsumsi sesudah makan.

Jangka Waktu Penggunaan:
Jangan mengonsumsi Bisolvon lebih dari 14 hari, kecuali jika disarankan oleh dokter
"
18,Cohistan,"
Nama Obat: Cohistan

Kategori Penyakit:
batuk

Indikasi:
COHISTAN EXPECTORANT mencairkan sekret yang kental untuk mempermudah pengeluarannya dan meredakan batuk produktif dan batuk karena alergi

Dosis:
3-4 x sehari 1 sendok makan 15 ml | 3-4 x sehari 12 sendok makan 15 ml | 3-4 x sehari 1 sendok teh 5 ml

Efek Samping:
Mulut kering | mengantuk | pandangan kabur | mual

Kontraindikasi:
Hipersensitif terhadap komponen obat ini

Interaksi Obat:
Peningkatan efek antikolinergik dari MAOI yang berpotensi fatal | Peningkatan kadar phenytoin dalam darah sehingga meningkatkan risiko terjadinya keracunan obat | Peningkatan efek antimuskarinik dari antidepresan trisiklik | Peningkatan efek kantuk dan risiko terjadinya komplikasi jika digunakan dengan obat antinyeri golongan opioid, obat antiansietas, obat penenang, atau obat antipsikotik

Komposisi:
Guaifenesin | Klorfenamin Maleat

Harga:
26500

Aturan Pemakaian:
Sesudah makan

Jangka Waktu Penggunaan:
Obat ini tidak bisa digunakan jangka panjang
"
19,Decadryl,"
Nama Obat: Decadryl

Kategori Penyakit:
batuk

Indikasi:
Untuk meringankan batuk berdahak karena alergi

Dosis:
1-2 Sendok takar tiap 3 jam, tidak boleh lebih dari 14 sendok takar per hari | 12 - 1 sendok takar tiap 3 jam, tidak boleh lebih dari 6 sendok takar per hari

Efek Samping:
mengantuk | retensi urin | mulut kering | gangguan pencernaan | reaksi alergi pada kulit | sedasi | pusing

Kontraindikasi:
Penderita hipersensitif terhadap salah satu komponen obat ini | Tidak boleh digunakan pada bayi baru lahir atau prematur | Terapi antibiotik ototoksik karena akan menimbulkan reaksi ototoksik

Interaksi Obat:
Diphenhydramine HCI mengurangi efek oral antikoagulan melalui induksi enzim | Diphenhydramine HCl menghasilkan efek berbahaya bila diberikan bersama alkohol, hipnotik, sedatif, tranquilizer dan obat-obat yang menyebabkan depresi susunan saraf pusat | Diphenhydramine HCI dan Phenobarbital keduanya merupakan enzyme inducers, pemberian bersamaan mengurangi aktivitas antihistamin dan mengurangi aktivitas barbiturat | Diphenhydramine HCl meningkatkan efek kardiovaskuler dari Epinephrine dan Norepinephrine | Ammonium chloride menurunkan pH air kemih, sehingga mengurangi ekskresi Salicylic acid. Dengan demikian kadar Salicylic acid dalam darah meningkat | Ammonium chloride dengan Sulfonamide menyebabkan terbentuknya kristal dalam air kemih dan komplikasi karena terjadi penurunan pH air kemih

Komposisi:
Diphenhydramine HCI | Ammonium chloride

Harga:
17000 | 21500

Aturan Pemakaian:
Sesudah makan

Jangka Waktu Penggunaan:
Obat ini tidak bisa digunakan jangka panjang
"
